BusinessEntityID,PersonType,AddressID,AddressTypeID,AddressLine1,AddressLine2,City,StateProvinceID,PostalCode
20675,IN,29781,2,"00, rue Saint-Lazare",,Dunkerque,145,59140
15161,IN,24231,2,"02, place de Fontenoy",,Verrieres Le Buisson,177,91370
10577,IN,19637,2,"035, boulevard du Montparnasse",,Verrieres Le Buisson,177,91370
6636,IN,15671,2,"081, boulevard du Montparnasse",,Saint-Denis,179,93400
4045,IN,13079,2,"081, boulevard du Montparnasse",,Seattle,79,98104
12284,IN,21354,2,"084, boulevard du Montparnasse",,Les Ulis,177,91940
3015,IN,12037,2,1 Smiling Tree Court,Space 55,Los Angeles,9,90012
11370,IN,20437,2,"1, allée des Princes",,Courbevoie,178,92400
12773,IN,21843,2,"1, avenue des Champs-Elysées",,Paris,161,75017
3724,IN,12753,2,"1, boulevard Beau Marchais",,Sèvres,178,92310
11222,IN,20289,2,"1, cours Mirabeau",,Roncq,145,59223
7416,IN,16455,2,"1, place Beaubernard",,Paris,161,75003
9936,IN,18991,2,"1, place Beaubernard",,Paris,161,75009
18261,IN,27348,2,"1, place Beaubernard",,Saint-Denis,179,93400
17029,IN,26115,2,"1, place Beaubernard",,Tremblay-en-France,179,93290
20304,IN,29410,2,"1, place de Brazaville",,Colomiers,117,31770
17829,IN,26916,2,"1, place de Brazaville",,Dunkerque,145,59140
19784,IN,28885,2,"1, place de Brazaville",,Lille,145,59000
14832,IN,23902,2,"1, rue de Courtaboeuf",,Lieusaint,163,77127
11746,IN,20814,2,"1, rue de Courtaboeuf",,Lille,145,59000
19961,IN,29062,2,"1, rue de Courtaboeuf",,Versailles,164,78000
12203,IN,21273,2,"1, rue de Fontfroide",,Paris,161,75003
1731,IN,28830,2,"1, rue de l´Avenir",,Chatou,164,78400
8364,IN,17417,2,"1, rue de l´Avenir",,Morangis,177,91420
15345,IN,24416,2,"1, rue de la Cavalerie",,Paris La Defense,178,92081
12630,IN,21700,2,"1, rue de la Cavalerie",,Roncq,145,59223
6804,IN,15839,2,"1, rue de la Cavalerie",,Sèvres,178,92310
14411,IN,23481,2,"1, rue de la Centenaire",,Cergy,181,95000
20401,IN,29507,2,"1, rue de la Centenaire",,Colombes,178,92700
17260,IN,26346,2,"1, rue de la Centenaire",,Les Ulis,177,91940
2754,IN,11774,2,"1, rue de la Centenaire",,Lille,145,59000
12982,IN,22052,2,"1, rue de la Centenaire",,Roubaix,145,59100
18935,IN,28024,2,"1, rue de la Centenaire",,Saint-Denis,179,93400
9653,IN,18707,2,"1, rue de la Centenaire",,Versailles,164,78000
10241,IN,19300,2,"1, rue de Maubeuge",,Metz,143,57000
7267,IN,16304,2,"1, rue de Maubeuge",,Morangis,177,91420
7020,IN,16055,2,"1, rue de Maubeuge",,Paris,161,75007
18073,IN,27160,2,"1, rue de Maubeuge",,Paris,161,75009
9945,IN,19001,2,"1, rue de Maubeuge",,Saint Germain en Laye,164,78100
16034,IN,25114,2,"1, rue de Maubeuge",,Villeneuve-d'Ascq,145,59491
17089,IN,26175,2,"1, rue de Varenne",,Boulogne-Billancourt,178,92100
13962,IN,23032,2,"1, rue de Varenne",,Dunkerque,145,59140
14311,IN,23381,2,"1, rue Georges-Clémenceau",,Paris,161,75003
13958,IN,23028,2,"1, rue Lamarck",,Versailles,164,78000
14555,IN,23625,2,"1, rue Pierre-Demoulin",,Croix,145,59170
12752,IN,21822,2,"1, rue Pierre-Demoulin",,Les Ulis,177,91940
13275,IN,22345,2,"1, rue Pierre-Demoulin",,Orleans,131,45000
4375,IN,13410,2,"1, rue Pierre-Demoulin",,Paris,161,75007
6810,IN,15845,2,"1, rue Pierre-Demoulin",,Paris,161,75012
10870,IN,19933,2,"1, rue Ste-Honoré",,Saint Ouen,127,41100
3039,IN,12062,2,10 Napa Ct.,,Lebanon,58,97355
9781,IN,18835,2,"10, avenue de Norvege",,Paris,161,75005
8963,IN,18016,2,"10, avenue du Port",,Roissy en Brie,163,77680
3114,IN,12138,2,"10, avenue du Président-Kennedy",,Paris,161,75019
20303,IN,29409,2,"10, impasse Ste-Madeleine",,Tremblay-en-France,179,93290
20710,IN,29816,2,"10, place Beaubernard",,Verrieres Le Buisson,177,91370
8558,IN,17611,2,"10, place de Fontenoy",,Roubaix,145,59100
19288,IN,28379,2,"10, route de Marseille",,Pantin,179,93500
13191,IN,22261,2,"10, rue de l´Avenir",,Suresnes,178,92150
16866,IN,25952,2,"10, rue de la Centenaire",,Saint-Denis,179,93400
11885,IN,20955,2,"10, rue de la Comédie",,Lille,145,59000
13975,IN,23045,2,"10, rue de Maubeuge",,Orleans,131,45000
5061,IN,14096,2,"10, rue des Vendangeurs",,Saint Germain en Laye,164,78100
11670,IN,20738,2,"10, rue Lafayette",,Paris,161,75007
15822,IN,24898,2,"10, rue Lauriston",,Bobigny,179,93000
20741,IN,29847,2,"10, rue Philibert-Delorme",,Paris,161,75007
17769,IN,26855,2,"10, rue Pierre-Demoulin",,Orleans,131,45000
11807,IN,20876,2,"10, rue Royale",,Courbevoie,178,92400
7128,IN,16163,2,"10, rue Royale",,Sèvres,178,92310
18502,IN,27590,2,"100, boulevard d´Albi",,Paris,161,75006
17403,IN,26489,2,"100, rue de la Centenaire",,Paris La Defense,178,92081
9912,IN,18967,2,"100, rue des Rosiers",,Everett,79,98201
9152,IN,18205,2,"100, rue des Rosiers",,Pantin,179,93500
20176,IN,29281,2,"100, rue Descartes",,Boulogne-Billancourt,178,92100
16402,IN,25486,2,"100, rue Jean Mermoz",,Paris,161,75002
16035,IN,25115,2,"100, rue Maillard",,Roubaix,145,59100
6237,IN,15272,2,1000 Bidweld Street,,Haney,7,V2W 1W2
18470,IN,27558,2,"1001, rue des Bouchers",,Paris,161,75012
9804,IN,18858,2,"1001bis, boulevard Saint Germain",,Roubaix,145,59100
