AddressLine1,AddressLine2,City,StateProvinceID,PostalCode
#500-75 O'Connor Street,,Ottawa,57,K4B 1S2
#9900 2700 Production Way,,Burnaby,7,V5A 4X1
"00, rue Saint-Lazare",,Dunkerque,145,59140
"02, place de Fontenoy",,Verrieres Le Buisson,177,91370
"035, boulevard du Montparnasse",,Verrieres Le Buisson,177,91370
"081, boulevard du Montparnasse",,Saint-Denis,179,93400
"081, boulevard du Montparnasse",,Seattle,79,98104
"084, boulevard du Montparnasse",,Les Ulis,177,91940
1 Corporate Center Drive,,Miami,15,33127
1 Mt. Dell Drive,,Portland,58,97205
1 Smiling Tree Court,Space 55,Los Angeles,9,90012
"1, allée des Princes",,Courbevoie,178,92400
"1, avenue des Champs-Elysées",,Paris,161,75017
"1, boulevard Beau Marchais",,Sèvres,178,92310
"1, cours Mirabeau",,Roncq,145,59223
"1, place Beaubernard",,Paris,161,75003
"1, place Beaubernard",,Paris,161,75009
"1, place Beaubernard",,Saint-Denis,179,93400
"1, place Beaubernard",,Tremblay-en-France,179,93290
"1, place de Brazaville",,Colomiers,117,31770
"1, place de Brazaville",,Dunkerque,145,59140
"1, place de Brazaville",,Lille,145,59000
"1, place de la République",,Paris,161,75017
"1, rue de Courtaboeuf",,Lieusaint,163,77127
"1, rue de Courtaboeuf",,Lille,145,59000
"1, rue de Courtaboeuf",,Versailles,164,78000
"1, rue de Fontfroide",,Paris,161,75003
"1, rue de l´Avenir",,Chatou,164,78400
"1, rue de l´Avenir",,Morangis,177,91420
"1, rue de la Cavalerie",,Paris La Defense,178,92081
"1, rue de la Cavalerie",,Roncq,145,59223
"1, rue de la Cavalerie",,Sèvres,178,92310
"1, rue de la Centenaire",,Cergy,181,95000
"1, rue de la Centenaire",,Colombes,178,92700
"1, rue de la Centenaire",,Les Ulis,177,91940
"1, rue de la Centenaire",,Lille,145,59000
"1, rue de la Centenaire",,Roubaix,145,59100
"1, rue de la Centenaire",,Saint-Denis,179,93400
"1, rue de la Centenaire",,Versailles,164,78000
"1, rue de Maubeuge",,Metz,143,57000
"1, rue de Maubeuge",,Morangis,177,91420
"1, rue de Maubeuge",,Paris,161,75007
"1, rue de Maubeuge",,Paris,161,75009
"1, rue de Maubeuge",,Saint Germain en Laye,164,78100
"1, rue de Maubeuge",,Villeneuve-d'Ascq,145,59491
"1, rue de Varenne",,Boulogne-Billancourt,178,92100
"1, rue de Varenne",,Dunkerque,145,59140
"1, rue Georges-Clémenceau",,Paris,161,75003
"1, rue Lamarck",,Versailles,164,78000
"1, rue Pierre-Demoulin",,Croix,145,59170
"1, rue Pierre-Demoulin",,Les Ulis,177,91940
"1, rue Pierre-Demoulin",,Orleans,131,45000
"1, rue Pierre-Demoulin",,Paris,161,75007
"1, rue Pierre-Demoulin",,Paris,161,75012
"1, rue Ste-Honoré",,Saint Ouen,127,41100
10 Napa Ct.,,Lebanon,58,97355
"10, avenue de Norvege",,Paris,161,75005
"10, avenue du Port",,Roissy en Brie,163,77680
"10, avenue du Président-Kennedy",,Paris,161,75019
"10, impasse Ste-Madeleine",,Tremblay-en-France,179,93290
"10, place Beaubernard",,Verrieres Le Buisson,177,91370
"10, place de Fontenoy",,Roubaix,145,59100
"10, route de Marseille",,Pantin,179,93500
"10, rue de l´Avenir",,Suresnes,178,92150
"10, rue de la Centenaire",,Saint-Denis,179,93400
"10, rue de la Comédie",,Lille,145,59000
"10, rue de Maubeuge",,Orleans,131,45000
"10, rue des Vendangeurs",,Saint Germain en Laye,164,78100
"10, rue Lafayette",,Paris,161,75007
"10, rue Lauriston",,Bobigny,179,93000
"10, rue Philibert-Delorme",,Paris,161,75007
"10, rue Pierre-Demoulin",,Orleans,131,45000
"10, rue Royale",,Courbevoie,178,92400
"10, rue Royale",,Sèvres,178,92310
100 Fifth Drive,,Millington,72,38054
"100, boulevard d´Albi",,Paris,161,75006
"100, rue de la Centenaire",,Paris La Defense,178,92081
